fips,stcd,district,pop2010
12,FL,040,149664
12,FL,041,252332
12,FL,042,214866
12,FL,043,162052
12,FL,044,171652
12,FL,045,146618
12,FL,046,142772
12,FL,047,157056
12,FL,048,136924
12,FL,049,172598
12,FL,050,131026
12,FL,051,129144
12,FL,052,139789
12,FL,053,133115
12,FL,054,130417
12,FL,055,133112
12,FL,056,192632
12,FL,057,148460
12,FL,058,131897
12,FL,059,141651
12,FL,060,162605
12,FL,061,242396
12,FL,062,162165
12,FL,063,156183
12,FL,064,165492
12,FL,065,179502
12,FL,066,162026
12,FL,067,241034
12,FL,068,128684
12,FL,069,132224
12,FL,070,150125
12,FL,071,183147
12,FL,072,167184
12,FL,073,189406
12,FL,074,182460
12,FL,075,174874
12,FL,076,149992
12,FL,077,147455
12,FL,078,156153
12,FL,079,187203
12,FL,080,148503
12,FL,081,201633
12,FL,082,172265
12,FL,083,168377
12,FL,084,144934
12,FL,085,193827
12,FL,086,142110
12,FL,087,137131
12,FL,088,164967
12,FL,089,140077
12,FL,090,142553
12,FL,091,129999
12,FL,092,133187
12,FL,093,131283
12,FL,094,135245
12,FL,095,134355
12,FL,096,140377
12,FL,097,169848
12,FL,098,134942
12,FL,099,137645
12,FL,100,137630
12,FL,101,189600
12,FL,102,160952
12,FL,103,138339
12,FL,104,137432
12,FL,105,151273
12,FL,106,150952
12,FL,107,156177
12,FL,108,132251
12,FL,109,135230
12,FL,110,132138
12,FL,111,139430
12,FL,112,210556
12,FL,113,136597
12,FL,114,133125
12,FL,115,135054
12,FL,116,134681
12,FL,117,150960
12,FL,118,162848
12,FL,119,154679
12,FL,120,170078
13,GA,001,53454
13,GA,002,49475
13,GA,003,55830
13,GA,004,56709
13,GA,005,53590
13,GA,006,53746
13,GA,007,55327
13,GA,008,53313
13,GA,009,70203
13,GA,010,56695
13,GA,011,47447
13,GA,012,56194
13,GA,013,46862
13,GA,014,58382
13,GA,015,58888
13,GA,016,49562
13,GA,017,79395
13,GA,018,52188
13,GA,019,73319
13,GA,020,51632
13,GA,021,75926
13,GA,022,78834
13,GA,023,79982
13,GA,024,80448
13,GA,025,64506
13,GA,026,53090
13,GA,027,56960
13,GA,028,50491
13,GA,029,49432
13,GA,030,47974
13,GA,031,69009
13,GA,032,62747
13,GA,033,53275
13,GA,034,53448
13,GA,035,59596
13,GA,036,60005
13,GA,037,48429
13,GA,038,46017
13,GA,039,55169
13,GA,040,43063
13,GA,041,46462
13,GA,042,47472
13,GA,043,45632
13,GA,044,45368
13,GA,045,44413
13,GA,046,65510
13,GA,047,56500
13,GA,048,51396
13,GA,049,47374
13,GA,050,59352
13,GA,051,46765
13,GA,052,49183
13,GA,053,41467
13,GA,054,54106
13,GA,055,40898
13,GA,056,51785
13,GA,057,51069
13,GA,058,41038
13,GA,059,48474
13,GA,060,39431
13,GA,061,37096
13,GA,062,37690
13,GA,063,70816
13,GA,064,57109
13,GA,065,75570
13,GA,066,61283
13,GA,067,63519
13,GA,068,65624
13,GA,069,51692
13,GA,070,69309
13,GA,071,59721
13,GA,072,52644
13,GA,073,69207
13,GA,074,48881
13,GA,075,42907
13,GA,076,57823
13,GA,077,47484
13,GA,078,65593
13,GA,079,53290
13,GA,080,48878
13,GA,081,42977
13,GA,082,47958
13,GA,083,50049
13,GA,084,40447
13,GA,085,40501
13,GA,086,40885
13,GA,087,41980
13,GA,088,47769
13,GA,089,40729
13,GA,090,57061
13,GA,091,53881
13,GA,092,51040
13,GA,093,63530
13,GA,094,58376
13,GA,095,71086
13,GA,096,47685
13,GA,097,61275
13,GA,098,84580
13,GA,099,47838
13,GA,100,55568
13,GA,101,55596
13,GA,102,50560
13,GA,103,57269
13,GA,104,66935
